"name","label","type","fieldType","groupName","createdAt","updatedAt"
"hs_v2_cumulative_time_in_connected_stage_id_2058487257","Cumulative time in ""Connected (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:07:44.367Z","2025-05-20T18:22:34.928Z"
"hs_v2_cumulative_time_in_new_stage_id_1318266061","Cumulative time in ""New (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:07:01.253Z","2025-05-20T18:22:34.928Z"
"hs_v2_cumulative_time_in_qualified_stage_id_233247981","Cumulative time in ""Qualified (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:06:00.229Z","2025-05-20T18:22:34.928Z"
"hs_v2_cumulative_time_in_unqualified_stage_id_1675714327","Cumulative time in ""Disqualified (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:02:37.989Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_entered_1109558437","Date entered ""Not Applicable (additional Director/Member) (Prospect Qualification)""","datetime","date","leadstages","2025-07-09T21:20:16.470Z","2025-07-09T21:20:16.470Z"
"hs_v2_date_entered_1134678094","Date entered ""Marketing Prospect (Prospect Qualification)""","datetime","date","leadstages","2025-08-05T12:18:14.519Z","2025-08-05T12:18:14.519Z"
"hs_v2_date_entered_attempting_stage_id_745667965","Date entered ""Attempting (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:11:03.614Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_entered_connected_stage_id_2058487257","Date entered ""Connected (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:03:12.896Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_entered_new_stage_id_1318266061","Date entered ""New (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:06:11.330Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_entered_qualified_stage_id_233247981","Date entered ""Qualified (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T11:59:14.854Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_entered_unqualified_stage_id_1675714327","Date entered ""Disqualified (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:11:14.883Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_exited_1109558437","Date exited ""Not Applicable (additional Director/Member) (Prospect Qualification)""","datetime","date","leadstages","2025-07-09T21:20:16.470Z","2025-07-09T21:20:16.470Z"
"hs_v2_date_exited_1134678094","Date exited ""Marketing Prospect (Prospect Qualification)""","datetime","date","leadstages","2025-08-05T12:18:14.519Z","2025-08-05T12:18:14.519Z"
"hs_v2_date_exited_attempting_stage_id_745667965","Date exited ""Attempting (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:10:53.529Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_exited_connected_stage_id_2058487257","Date exited ""Connected (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:06:50.006Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_exited_new_stage_id_1318266061","Date exited ""New (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:00:24.363Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_exited_qualified_stage_id_233247981","Date exited ""Qualified (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:11:34.327Z","2025-05-20T18:22:34.928Z"
"hs_v2_date_exited_unqualified_stage_id_1675714327","Date exited ""Disqualified (Prospect Qualification)""","datetime","date","leadstages","2024-05-15T12:10:42.628Z","2025-05-20T18:22:34.928Z"
"hs_v2_latest_time_in_1109558437","Latest time in ""Not Applicable (additional Director/Member) (Prospect Qualification)""","number","number","leadstages","2025-07-09T21:20:16.470Z","2025-07-09T21:20:16.470Z"
"hs_v2_latest_time_in_1134678094","Latest time in ""Marketing Prospect (Prospect Qualification)""","number","number","leadstages","2025-08-05T12:18:14.519Z","2025-08-05T12:18:14.519Z"
"hs_v2_latest_time_in_attempting_stage_id_745667965","Latest time in ""Attempting (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:06:24.490Z","2025-05-20T18:22:34.928Z"
"hs_v2_latest_time_in_connected_stage_id_2058487257","Latest time in ""Connected (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:06:37.799Z","2025-05-20T18:22:34.928Z"
"hs_v2_latest_time_in_new_stage_id_1318266061","Latest time in ""New (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:10:29.695Z","2025-05-20T18:22:34.928Z"
"hs_v2_latest_time_in_qualified_stage_id_233247981","Latest time in ""Qualified (Prospect Qualification)""","number","number","leadstages","2024-05-15T11:59:44.295Z","2025-05-20T18:22:34.928Z"
"hs_v2_latest_time_in_unqualified_stage_id_1675714327","Latest time in ""Disqualified (Prospect Qualification)""","number","number","leadstages","2024-05-15T12:02:56.014Z","2025-05-20T18:22:34.928Z"
"hs_was_imported","Performed in an import","bool","booleancheckbox","lead_information",,
"hs_workflow_updated_lifecycle_stage_of_company","Workflow updated lifecycle stage of company","bool","booleancheckbox","lead_information","2024-04-01T13:47:54.716Z","2025-03-19T17:03:50.536Z"
"hs_workflow_updated_lifecycle_stage_of_contact","Workflow updated lifecycle stage of contact","bool","booleancheckbox","lead_information","2024-03-29T14:30:14.447Z","2025-03-19T17:03:50.536Z"
"hubspot_owner_assigneddate","Owner assigned date","datetime","date","lead_information",,
"hubspot_owner_id","Lead Owner","enumeration","select","lead_information","1970-01-01T00:00:00Z","2025-03-19T17:03:50.536Z"
"hubspot_team_id","HubSpot Team","enumeration","select","lead_information","1970-01-01T00:00:00Z","2024-05-02T16:51:19.743Z"
"latest_lead_source","Latest Lead Source","string","text","lead_information","2025-05-06T11:00:18.728Z","2025-05-06T11:00:18.728Z"
"lead_are_you_a_company_director_","Are you a Company Director?","enumeration","select","lead_information","2025-05-21T08:22:42.022Z","2025-05-21T08:22:42.022Z"
"original_enquiry_date","Original enquiry Date","date","date","lead_information","2025-06-17T16:28:23.717Z","2025-06-17T16:28:23.717Z"
"original_lead_source","Original Lead Source","string","text","lead_information","2025-05-06T11:01:11.322Z","2025-05-06T11:01:11.322Z"
"product_of_interest","Product of Interest","enumeration","select","contact_sync_properties","2025-06-19T11:32:47.415Z","2025-06-19T11:32:47.415Z"
"retained_business_profits","Retained business profits","number","number","lead_information","2025-04-30T20:25:28.253Z","2025-04-30T20:25:28.253Z"
"sales_lead_source","Sales Lead Source","string","text","lead_information","2025-06-16T11:46:54.708Z","2025-06-16T11:46:54.708Z"
"what_is_the_value_of_your_company_cash_","What is the value of your company cash? - Marketing","enumeration","select","lead_information","2025-04-30T20:27:03.151Z","2025-04-30T20:27:03.151Z"
